DATETIME,open,high,low,QUANTITY,1,2,3,4,5,6,7,8,9,10,11,12,RATE,IBS
2022-02-24 16:10:00,160.8,161.01,160.57999999999998,-5232,-5232.0,720.0,-9502.0,-16499.0,-20424.0,-29499.0,-28750.0,-29165.0,-26129.0,-23189.0,-24118.0,-19644.0,160.82,0.5581395348837332
2022-02-24 16:15:00,160.8,161.38,160.73,12098,12098.0,6866.0,12818.0,2596.0,-4401.0,-8326.0,-17401.0,-16652.0,-17067.0,-14031.0,-11091.0,-12020.0,161.31,0.8923076923077038
2022-02-24 16:20:00,161.42000000000002,162.24,161.01999999999998,-13270,-13270.0,-1172.0,-6404.0,-452.0,-10674.0,-17671.0,-21596.0,-30671.0,-29922.0,-30337.0,-27301.0,-24361.0,161.45999999999998,0.3606557377049081
2022-02-24 16:25:00,161.62,161.62,160.72,-30949,-30949.0,-44219.0,-32121.0,-37353.0,-31401.0,-41623.0,-48620.0,-52545.0,-61620.0,-60871.0,-61286.0,-58250.0,160.84,0.13333333333333755
2022-02-24 16:30:00,160.84,161.25,160.61,-22291,-22291.0,-53240.0,-66510.0,-54412.0,-59644.0,-53692.0,-63914.0,-70911.0,-74836.0,-83911.0,-83162.0,-83577.0,161.19,0.9062499999999944
2022-02-24 16:35:00,161.17,161.33,160.81,-5178,-5178.0,-27469.0,-58418.0,-71688.0,-59590.0,-64822.0,-58870.0,-69092.0,-76089.0,-80014.0,-89089.0,-88340.0,160.97,0.30769230769229505
2022-02-24 16:40:00,160.89,161.06,160.61,2085,2085.0,-3093.0,-25384.0,-56333.0,-69603.0,-57505.0,-62737.0,-56785.0,-67007.0,-74004.0,-77929.0,-87004.0,160.93,0.7111111111111139
2022-02-24 16:45:00,160.94,161.69,160.94,-7367,-7367.0,-5282.0,-10460.0,-32751.0,-63700.0,-76970.0,-64872.0,-70104.0,-64152.0,-74374.0,-81371.0,-85296.0,161.65,0.9466666666666773
2022-02-24 16:50:00,161.56,161.84,161.49,-17810,-17810.0,-25177.0,-23092.0,-28270.0,-50561.0,-81510.0,-94780.0,-82682.0,-87914.0,-81962.0,-92184.0,-99181.0,161.76999999999998,0.799999999999935
2022-02-24 16:55:00,161.76999999999998,161.88,161.41,-3400,-3400.0,-21210.0,-28577.0,-26492.0,-31670.0,-53961.0,-84910.0,-98180.0,-86082.0,-91314.0,-85362.0,-95584.0,161.64,0.48936170212763896
